DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber,Raffles
05-Feb-2025,34,27,54,26,51,41,52,1,Guinevere,3039,
08-Feb-2025,6,47,36,28,52,45,51,1,Guinevere,3040,
12-Feb-2025,33,56,8,34,59,50,17,2,Lancelot,3041,
15-Feb-2025,52,17,31,46,57,39,1,2,Lancelot,3042,
19-Feb-2025,7,40,39,43,5,37,8,3,Lancelot,3043,
22-Feb-2025,7,33,3,9,29,51,5,3,Lancelot,3044,
26-Feb-2025,4,1,10,40,26,31,24,4,Guinevere,3045,
01-Mar-2025,6,14,19,41,11,43,53,4,Guinevere,3046,
05-Mar-2025,44,43,8,30,19,18,58,5,Guinevere,3047,
08-Mar-2025,44,29,1,42,19,33,21,5,Guinevere,3048,
12-Mar-2025,4,52,42,38,56,58,44,6,Lancelot,3049,
15-Mar-2025,5,31,6,33,20,4,28,6,Lancelot,3050,
19-Mar-2025,35,6,15,27,43,41,28,7,Lancelot,3051,
22-Mar-2025,10,54,38,55,11,34,26,7,Lancelot,3052,
26-Mar-2025,18,22,17,34,53,58,14,8,Guinevere,3053,
29-Mar-2025,1,7,35,57,17,43,19,8,Guinevere,3054,
02-Apr-2025,40,43,36,30,5,41,53,5,Guinevere,3055,
05-Apr-2025,33,59,57,53,10,26,18,5,Guinevere,3056,
09-Apr-2025,12,46,14,28,31,33,43,6,Lancelot,3057,
12-Apr-2025,4,55,12,10,22,53,31,6,Lancelot,3058,
16-Apr-2025,48,57,39,27,36,59,45,7,Lancelot,3059,
19-Apr-2025,13,11,1,37,2,30,33,7,Lancelot,3060,
23-Apr-2025,42,1,37,24,28,26,44,8,Guinevere,3061,
26-Apr-2025,32,36,59,7,8,11,21,8,Guinevere,3062,
30-Apr-2025,16,40,42,28,23,55,44,5,Guinevere,3063,
03-May-2025,18,23,41,17,38,47,9,5,Guinevere,3064,
07-May-2025,12,24,21,3,45,41,20,6,Lancelot,3065,
10-May-2025,27,13,36,14,33,15,18,6,Lancelot,3066,
14-May-2025,14,34,2,52,48,37,29,7,Lancelot,3067,
17-May-2025,34,24,18,51,47,35,26,7,Lancelot,3068,
21-May-2025,16,36,20,30,5,6,2,8,Guinevere,3069,
24-May-2025,9,13,12,26,38,40,4,8,Guinevere,3070,
28-May-2025,8,31,28,49,55,33,13,5,Guinevere,3071,
31-May-2025,20,33,12,11,16,8,52,9,Guinevere,3072,
04-Jun-2025,9,45,32,2,19,57,31,10,Lancelot,3073,
07-Jun-2025,27,11,30,46,39,17,56,10,Lancelot,3074,
11-Jun-2025,47,53,35,13,42,8,39,9,Lancelot,3075,
14-Jun-2025,42,36,48,59,8,20,46,9,Lancelot,3076,
18-Jun-2025,44,8,15,49,31,38,59,10,Guinevere,3077,
21-Jun-2025,58,31,13,12,10,6,15,10,Guinevere,3078,
25-Jun-2025,21,54,14,49,16,42,41,9,Guinevere,3079,
28-Jun-2025,17,40,22,47,38,16,4,9,Guinevere,3080,
02-Jul-2025,34,51,54,55,11,4,57,10,Lancelot,3081,
05-Jul-2025,45,37,43,9,18,12,15,10,Lancelot,3082,
09-Jul-2025,51,12,15,25,58,6,57,1,Lotto 2,3083,
12-Jul-2025,41,11,25,4,51,17,14,1,Lotto 2,3084,
16-Jul-2025,6,47,55,12,9,15,56,2,Lotto 2,3085,
19-Jul-2025,25,46,5,7,29,40,15,2,Lotto 2,3086,
23-Jul-2025,48,3,11,21,16,9,22,1,Lotto 2,3087,
26-Jul-2025,28,42,24,57,23,9,18,1,Lotto 2,3088,
30-Jul-2025,37,3,21,5,18,7,38,4,Lotto 2,3089,
02-Aug-2025,33,1,5,10,30,50,56,4,Lotto 2,3090,
06-Aug-2025,5,9,17,31,47,58,35,3,Lotto 2,3091,
09-Aug-2025,2,27,29,38,44,51,23,3,Lotto 2,3092,
13-Aug-2025,1,16,27,41,50,55,54,2,Lotto 2,3093,
16-Aug-2025,1,11,15,19,45,48,37,2,Lotto 2,3094,
20-Aug-2025,1,9,10,32,44,55,49,3,Lotto 2,3095,
23-Aug-2025,7,30,38,42,54,59,5,3,Lotto 2,3096,
27-Aug-2025,5,25,43,45,47,55,58,4,Lotto 2,3097,
30-Aug-2025,6,10,19,20,43,59,16,4,Lotto 2,3098,
03-Sep-2025,7,15,18,22,31,54,28,1,Lotto 2,3099,
06-Sep-2025,10,22,37,40,45,57,24,1,Lotto 2,3100,
10-Sep-2025,1,9,18,27,38,42,13,2,Lotto 2,3101,
13-Sep-2025,1,26,36,49,53,54,10,2,Lotto 2,3102,
17-Sep-2025,7,9,18,24,30,36,42,3,Lotto 2,3103,
20-Sep-2025,13,16,30,36,53,59,22,3,Lotto 2,3104,
24-Sep-2025,3,16,23,30,38,47,25,4,Lotto 2,3105,
24-Sep-2025,3,16,23,30,38,47,25,L4,Lotto2,3105,
27-Sep-2025,15,23,24,28,37,41,59,4,Lotto 2,3106,
27-Sep-2025,15,23,24,28,37,41,59,L4,Lotto2,3106,
01-Oct-2025,13,28,31,39,51,59,27,1,Lotto 2,3107,
01-Oct-2025,13,28,31,39,51,59,27,L1,Lotto2,3107,
04-Oct-2025,6,8,12,33,49,59,42,1,Lotto 2,3108,
04-Oct-2025,6,8,12,33,49,59,42,L1,Lotto2,3108,
08-Oct-2025,2,21,42,48,56,57,51,5,Lotto 2,3109,
08-Oct-2025,2,21,42,48,56,57,51,L5,Lotto2,3109,
11-Oct-2025,11,17,25,31,51,54,53,,,3110,
11-Oct-2025,11,17,25,31,51,54,53,5,Lotto 2,3110,
15-Oct-2025,29,33,36,38,48,58,52,6,2,3111,
15-Oct-2025,29,33,36,38,48,58,52,L6,Lotto2,3111,
18-Oct-2025,6,39,43,52,58,59,19,6,Lotto 2,3112,
18-Oct-2025,6,39,43,52,58,59,19,L6,Lotto2,3112,
22-Oct-2025,3,24,26,34,35,36,9,9,Lotto 1,3113,
22-Oct-2025,3,24,26,34,35,36,9,L9,Lotto1,3113,
25-Oct-2025,4,9,28,40,42,59,55,9,Lotto 1,3114,
25-Oct-2025,4,9,28,40,42,59,55,L9,Lotto1,3114,
29-Oct-2025,9,24,30,33,35,54,32,10,Lotto 2,3115,
29-Oct-2025,9,24,30,33,35,54,32,L10,Lotto2,3115,
01-Nov-2025,17,18,31,36,39,51,29,10,Lotto 2,3116,
01-Nov-2025,17,18,31,36,39,51,29,L10,Lotto2,3116,
05-Nov-2025,2,15,20,42,43,59,16,9,Lotto 2,3117,
05-Nov-2025,2,15,20,42,43,59,16,L9,Lotto2,3117,
08-Nov-2025,2,3,42,45,46,47,44,9,Lotto 2,3118,
08-Nov-2025,2,3,42,45,46,47,44,L9,Lotto2,3118,
12-Nov-2025,9,17,31,34,54,57,7,6,Lotto 2,3119,
12-Nov-2025,9,17,31,34,54,57,7,L6,Lotto2,3119,
15-Nov-2025,9,11,27,44,48,52,25,6,Lotto 2,3120,
15-Nov-2025,9,11,27,44,48,52,25,L6,Lotto2,3120,
19-Nov-2025,15,18,36,50,51,57,10,9,Lotto 2,3121,
19-Nov-2025,15,18,36,50,51,57,10,L9,Lotto2,3121,
22-Nov-2025,9,11,14,43,49,59,35,9,Lotto 2,3122,
22-Nov-2025,9,11,14,43,49,59,35,L9,Lotto2,3122,
26-Nov-2025,10,21,49,54,55,56,40,10,Lotto 2,3123,
26-Nov-2025,10,21,49,54,55,56,40,L10,Lotto2,3123,
29-Nov-2025,2,6,9,16,38,48,46,10,Lotto 2,3124,
29-Nov-2025,2,6,9,16,38,48,46,L10,Lotto2,3124,
03-Dec-2025,6,13,19,48,57,58,1,L5,Lotto2,3125,
06-Dec-2025,5,7,10,17,32,42,40,L5,Lotto2,3126,
10-Dec-2025,4,9,26,35,42,46,38,L6,Lotto2,3127,
13-Dec-2025,18,22,24,41,53,56,59,L6,Lotto2,3128,
17-Dec-2025,15,20,43,50,51,58,36,L9,Lotto2,3129,
20-Dec-2025,2,25,27,34,45,52,47,L9,Lotto2,3130,
24-Dec-2025,12,15,16,35,38,48,49,L10,Lotto2,3131,
27-Dec-2025,20,36,40,43,51,55,21,L10,Lotto2,3132,
31-Dec-2025,3,20,27,29,38,46,14,L5,Lotto2,3133,
03-Jan-2026,6,20,34,38,47,48,4,L5,Lotto2,3134,
07-Jan-2026,3,9,20,33,45,50,12,L1,Arthur,3135,
10-Jan-2026,5,6,13,18,22,53,9,L1,Arthur,3136,
14-Jan-2026,2,5,22,35,44,54,23,L9,Lotto2,3137,
17-Jan-2026,12,26,30,32,39,58,4,L9,Lotto2,3138,
21-Jan-2026,5,24,28,46,49,56,19,L10,Lotto2,3139,
24-Jan-2026,1,4,8,23,34,57,29,L10,Lotto2,3140,
28-Jan-2026,33,45,50,52,58,59,15,L5,Lotto2,3141,
31-Jan-2026,7,8,17,25,37,40,11,L5,Lotto2,3142,
04-Feb-2026,1,2,19,29,51,57,5,L6,Lotto2,3143,
07-Feb-2026,7,25,27,46,52,59,40,L6,Lotto2,3144,
11-Feb-2026,5,11,28,30,47,53,52,L9,Lotto2,3145,
14-Feb-2026,10,13,27,50,54,56,14,L9,Lotto2,3146,
18-Feb-2026,1,11,12,13,18,49,33,L10,Lotto4,3147,
21-Feb-2026,2,14,24,33,37,40,19,L10,Lotto4,3148,
25-Feb-2026,31,34,36,41,54,57,27,L5,Lotto4,3149,
28-Feb-2026,12,15,22,28,31,32,23,L5,Lotto4,3150,
04-Mar-2026,20,33,43,46,50,56,45,L6,Lotto5,3151,
07-Mar-2026,9,37,39,40,47,51,19,L6,Lotto5,3152,
11-Mar-2026,2,3,18,25,40,54,14,L9,Lotto5,3153,
14-Mar-2026,10,30,36,44,45,58,59,L9,Lotto5,3154,
18-Mar-2026,14,16,18,22,47,56,54,L5,Lotto4,3155,
21-Mar-2026,5,10,18,28,34,53,46,L5,Lotto4,3156,
