DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
11-Aug-2021,46,36,39,32,37,13,40,8,Lancelot,2675
14-Aug-2021,19,1,39,15,2,43,58,8,Lancelot,2676
18-Aug-2021,10,4,48,50,27,30,54,5,Arthur,2677
21-Aug-2021,27,35,18,28,17,57,51,5,Arthur,2678
25-Aug-2021,15,30,39,52,59,7,38,6,Arthur,2679
28-Aug-2021,24,50,18,34,49,57,41,6,Arthur,2680
01-Sep-2021,19,28,3,41,33,43,57,7,Merlin,2681
04-Sep-2021,21,14,39,41,36,1,34,7,Merlin,2682
08-Sep-2021,13,56,3,14,4,38,52,8,Merlin,2683
11-Sep-2021,13,52,2,54,42,38,39,8,Merlin,2684
15-Sep-2021,25,20,24,37,34,27,50,9,Arthur,2685
18-Sep-2021,53,32,44,45,52,19,12,9,Arthur,2686
22-Sep-2021,21,40,44,13,52,33,9,10,Arthur,2687
25-Sep-2021,31,13,56,36,15,32,53,10,Arthur,2688
29-Sep-2021,17,52,45,15,27,40,28,11,Merlin,2689
02-Oct-2021,32,35,36,51,37,40,43,11,Merlin,2690
06-Oct-2021,51,16,1,9,30,27,34,9,Merlin,2691
09-Oct-2021,52,30,9,48,51,6,55,9,Merlin,2692
13-Oct-2021,4,12,56,38,8,15,30,10,Arthur,2693
16-Oct-2021,24,21,58,18,37,4,22,10,Arthur,2694
20-Oct-2021,43,37,29,23,27,47,11,11,Arthur,2695
23-Oct-2021,27,21,28,4,13,37,19,11,Arthur,2696
27-Oct-2021,22,8,47,39,20,48,16,9,Merlin,2697
30-Oct-2021,18,51,56,59,7,47,17,9,Merlin,2698
03-Nov-2021,47,48,6,39,31,58,8,10,Merlin,2699
06-Nov-2021,21,7,29,39,34,3,19,10,Merlin,2700
10-Nov-2021,18,37,11,20,49,10,5,11,Arthur,2701
13-Nov-2021,43,14,28,52,13,16,56,11,Arthur,2702
17-Nov-2021,13,55,35,34,24,49,53,1,Arthur,2703
20-Nov-2021,32,59,17,16,51,5,53,1,Arthur,2704
24-Nov-2021,42,11,39,19,17,4,59,2,Merlin,2705
27-Nov-2021,15,48,16,1,24,17,9,2,Merlin,2706
01-Dec-2021,4,37,42,7,50,8,36,3,Merlin,2707
04-Dec-2021,24,46,33,32,8,25,47,3,Merlin,2708
08-Dec-2021,12,52,31,30,34,58,56,1,Arthur,2709
11-Dec-2021,15,31,33,13,6,14,38,5,Arthur,2710
15-Dec-2021,28,17,15,45,30,2,54,6,Arthur,2711
18-Dec-2021,51,45,27,12,23,54,59,6,Arthur,2712
22-Dec-2021,20,52,13,45,14,6,54,7,Merlin,2713
25-Dec-2021,42,26,15,30,59,24,18,7,Merlin,2714
29-Dec-2021,57,28,52,3,42,17,58,8,Merlin,2715
01-Jan-2022,41,43,29,56,14,31,42,8,Merlin,2716
05-Jan-2022,21,57,28,3,56,5,14,5,Arthur,2717
08-Jan-2022,36,46,33,21,43,28,27,5,Arthur,2718
12-Jan-2022,59,56,21,39,8,37,32,6,Arthur,2719
15-Jan-2022,25,39,13,31,14,37,4,6,Arthur,2720
19-Jan-2022,50,57,41,13,56,3,58,7,Merlin,2721
22-Jan-2022,25,59,46,20,35,1,28,7,Merlin,2722
26-Jan-2022,53,26,57,36,5,58,2,8,Merlin,2723
29-Jan-2022,50,12,41,4,47,35,46,8,Merlin,2724
02-Feb-2022,48,59,29,50,22,6,3,5,Guinevere,2725
05-Feb-2022,36,24,8,39,46,56,48,5,Guinevere,2726
09-Feb-2022,17,57,43,12,53,16,29,6,Guinevere,2727
12-Feb-2022,28,16,58,26,9,47,49,6,Guinevere,2728
16-Feb-2022,31,27,21,53,59,50,24,7,Lancelot,2729
19-Feb-2022,56,44,33,50,34,57,26,7,Lancelot,2730
23-Feb-2022,22,26,37,33,27,4,20,9,Lancelot,2731
26-Feb-2022,52,8,5,33,47,37,20,9,Lancelot,2732
02-Mar-2022,58,55,43,48,49,52,32,10,Guinevere,2733
05-Mar-2022,51,33,10,29,42,21,48,10,Guinevere,2734
09-Mar-2022,10,3,38,26,47,41,45,11,Guinevere,2735
12-Mar-2022,39,23,44,13,7,21,16,11,Guinevere,2736
16-Mar-2022,28,33,14,23,20,54,12,9,Lancelot,2737
19-Mar-2022,51,20,50,34,33,24,7,9,Lancelot,2738
23-Mar-2022,52,15,53,46,3,14,50,10,Lancelot,2739
26-Mar-2022,13,27,53,35,46,18,40,10,Lancelot,2740
30-Mar-2022,17,44,58,12,11,14,29,11,Guinevere,2741
02-Apr-2022,22,57,27,52,30,24,20,11,Guinevere,2742
06-Apr-2022,23,3,49,30,17,24,59,9,Guinevere,2743
09-Apr-2022,18,59,44,11,10,29,17,9,Guinevere,2744
13-Apr-2022,53,40,1,10,7,30,2,10,Lancelot,2745
16-Apr-2022,6,4,55,58,2,35,44,10,Lancelot,2746
20-Apr-2022,5,53,24,47,8,50,31,11,Lancelot,2747
23-Apr-2022,7,10,56,31,48,24,15,11,Lancelot,2748
27-Apr-2022,57,38,22,10,56,35,46,1,Guinevere,2749
30-Apr-2022,15,19,41,26,51,57,52,1,Guinevere,2750
04-May-2022,57,10,55,50,29,6,5,2,Guinevere,2751
07-May-2022,5,3,15,6,41,45,39,2,Guinevere,2752
11-May-2022,39,51,21,44,37,34,26,3,Lancelot,2753
14-May-2022,15,21,12,50,39,24,35,3,Lancelot,2754
18-May-2022,18,20,38,40,51,42,45,4,Lancelot,2755
21-May-2022,51,48,57,12,37,25,8,4,Lancelot,2756
25-May-2022,45,31,49,30,37,56,51,1,Guinevere,2757
28-May-2022,24,57,16,34,44,5,20,1,Guinevere,2758
01-Jun-2022,32,4,30,38,1,6,18,2,Arthur,2759
04-Jun-2022,46,59,41,52,19,9,24,2,Arthur,2760
08-Jun-2022,25,53,58,11,23,38,52,3,Arthur,2761
11-Jun-2022,32,21,59,52,34,20,1,3,Arthur,2762
15-Jun-2022,53,3,41,37,38,26,36,4,Merlin,2763
18-Jun-2022,14,39,11,59,42,36,21,4,Merlin,2764
22-Jun-2022,54,21,40,48,36,46,38,1,Merlin,2765
25-Jun-2022,43,13,31,52,23,25,6,1,Merlin,2766
29-Jun-2022,26,3,17,21,46,59,39,2,Arthur,2767
02-Jul-2022,53,48,33,9,43,23,1,2,Arthur,2768
06-Jul-2022,44,25,9,54,36,41,48,3,Arthur,2769
09-Jul-2022,40,12,15,6,48,24,45,3,Arthur,2770
13-Jul-2022,12,59,39,13,42,19,10,4,Merlin,2771
16-Jul-2022,58,32,2,19,12,54,23,4,Merlin,2772
20-Jul-2022,36,33,12,32,14,17,9,5,Merlin,2773
23-Jul-2022,34,10,41,2,54,13,26,5,Merlin,2774
27-Jul-2022,14,37,39,38,1,11,54,6,Arthur,2775
30-Jul-2022,33,7,17,16,19,57,12,6,Arthur,2776
03-Aug-2022,25,53,29,5,28,58,15,7,Arthur,2777
06-Aug-2022,45,41,44,31,15,14,20,7,Arthur,2778
10-Aug-2022,24,52,6,40,47,21,30,8,Merlin,2779
13-Aug-2022,50,49,15,42,22,54,59,8,Merlin,2780
17-Aug-2022,26,37,48,45,20,30,33,5,Merlin,2781
20-Aug-2022,3,59,35,9,6,5,38,5,Merlin,2782
24-Aug-2022,25,35,32,10,39,14,42,6,Arthur,2783
27-Aug-2022,20,7,10,24,30,38,19,6,Arthur,2784
31-Aug-2022,13,49,21,54,16,30,8,7,Arthur,2785
03-Sep-2022,25,43,9,52,42,46,6,7,Arthur,2786
07-Sep-2022,58,27,34,20,42,3,48,8,Merlin,2787
10-Sep-2022,7,29,42,6,31,2,9,8,Merlin,2788
14-Sep-2022,55,38,46,25,45,57,16,5,Merlin,2789
17-Sep-2022,25,22,55,45,28,11,15,5,Merlin,2790
21-Sep-2022,34,28,6,45,13,37,24,6,Arthur,2791
24-Sep-2022,18,50,14,22,39,15,51,7,Arthur,2792
28-Sep-2022,3,15,58,48,20,57,9,7,Arthur,2793
01-Oct-2022,4,9,44,58,1,40,21,7,Arthur,2794
05-Oct-2022,23,51,54,31,48,36,38,8,Merlin,2795
08-Oct-2022,6,32,12,26,46,8,51,8,Merlin,2796
12-Oct-2022,24,47,21,20,39,26,37,9,Merlin,2797
15-Oct-2022,55,25,11,18,36,13,39,9,Merlin,2798
19-Oct-2022,2,59,45,50,18,13,14,10,Arthur,2799
22-Oct-2022,58,33,59,42,56,11,34,10,Arthur,2800
26-Oct-2022,46,20,13,7,21,53,49,11,Arthur,2801
29-Oct-2022,58,37,15,39,7,26,41,11,Arthur,2802
02-Nov-2022,40,41,18,4,44,46,54,9,Merlin,2803
05-Nov-2022,31,2,13,27,38,41,34,9,Merlin,2804
09-Nov-2022,1,31,29,5,44,58,8,10,Merlin,2805
12-Nov-2022,4,37,22,48,44,11,39,10,Merlin,2806
16-Nov-2022,53,30,27,1,39,18,58,11,Arthur,2807
19-Nov-2022,30,17,39,49,5,20,59,11,Arthur,2808
23-Nov-2022,42,43,5,16,58,29,37,9,Arthur,2809
26-Nov-2022,52,50,17,5,3,1,11,9,Arthur,2810
30-Nov-2022,47,50,13,20,17,49,11,10,Merlin,2811
03-Dec-2022,19,38,14,16,13,11,23,10,Merlin,2812
07-Dec-2022,45,37,9,51,33,21,55,11,Merlin,2813
10-Dec-2022,14,34,23,51,19,17,54,11,Merlin,2814
14-Dec-2022,39,41,44,49,50,16,6,1,Guinevere,2815
17-Dec-2022,49,38,56,15,39,22,32,1,Guinevere,2816
21-Dec-2022,38,19,53,54,34,5,31,2,Guinevere,2817
24-Dec-2022,59,8,1,46,14,49,19,2,Guinevere,2818
28-Dec-2022,5,31,57,48,27,19,30,3,Lancelot,2819
31-Dec-2022,34,57,27,58,56,47,19,3,Lancelot,2820
